Gen,Group,DataSet,Bichat1.reads,Bichat1.RPK,Bichat1.Uniq,Bichat1.Coverage,Bichat10.reads,Bichat10.RPK,Bichat10.Uniq,Bichat10.Coverage,Bichat11.reads,Bichat11.RPK,Bichat11.Uniq,Bichat11.Coverage,Bichat13.reads,Bichat13.RPK,Bichat13.Uniq,Bichat13.Coverage,Bichat2.reads,Bichat2.RPK,Bichat2.Uniq,Bichat2.Coverage,Bichat3.reads,Bichat3.RPK,Bichat3.Uniq,Bichat3.Coverage,Bichat6.reads,Bichat6.RPK,Bichat6.Uniq,Bichat6.Coverage,Bichat7.reads,Bichat7.RPK,Bichat7.Uniq,Bichat7.Coverage,Bichat9.reads,Bichat9.RPK,Bichat9.Uniq,Bichat9.Coverage,BichatK1.reads,BichatK1.RPK,BichatK1.Uniq,BichatK1.Coverage,BichatK10.reads,BichatK10.RPK,BichatK10.Uniq,BichatK10.Coverage,BichatK11.reads,BichatK11.RPK,BichatK11.Uniq,BichatK11.Coverage,BichatK13.reads,BichatK13.RPK,BichatK13.Uniq,BichatK13.Coverage,BichatK2.reads,BichatK2.RPK,BichatK2.Uniq,BichatK2.Coverage,BichatK3.reads,BichatK3.RPK,BichatK3.Uniq,BichatK3.Coverage,BichatK6.reads,BichatK6.RPK,BichatK6.Uniq,BichatK6.Coverage,BichatK7.reads,BichatK7.RPK,BichatK7.Uniq,BichatK7.Coverage,BichatK9.reads,BichatK9.RPK,BichatK9.Uniq,BichatK9.Coverage,postF266.reads,postF266.RPK,postF266.Uniq,postF266.Coverage,postPIG20.reads,postPIG20.RPK,postPIG20.Uniq,postPIG20.Coverage,postPIG26.reads,postPIG26.RPK,postPIG26.Uniq,postPIG26.Coverage,postPIG29.reads,postPIG29.RPK,postPIG29.Uniq,postPIG29.Coverage,postPIG31.reads,postPIG31.RPK,postPIG31.Uniq,postPIG31.Coverage,postPIG528.reads,postPIG528.RPK,postPIG528.Uniq,postPIG528.Coverage,postPIG94.reads,postPIG94.RPK,postPIG94.Uniq,postPIG94.Coverage,postPIG96.reads,postPIG96.RPK,postPIG96.Uniq,postPIG96.Coverage,preF266.reads,preF266.RPK,preF266.Uniq,preF266.Coverage,prePIG20.reads,prePIG20.RPK,prePIG20.Uniq,prePIG20.Coverage,prePIG26.reads,prePIG26.RPK,prePIG26.Uniq,prePIG26.Coverage,prePIG29.reads,prePIG29.RPK,prePIG29.Uniq,prePIG29.Coverage,prePIG31.reads,prePIG31.RPK,prePIG31.Uniq,prePIG31.Coverage,prePIG528.reads,prePIG528.RPK,prePIG528.Uniq,prePIG528.Coverage,prePIG94.reads,prePIG94.RPK,prePIG94.Uniq,prePIG94.Coverage,prePIG96.reads,prePIG96.RPK,prePIG96.Uniq,prePIG96.Coverage,DataGroup
pstA:P07654:PSTA_ECOLI,1,Bac,0,0,0,0,4.720781405014919,5.292355835221591,71,0.9472502806,6.107972416098619,6.8475027086325095,82,0.9573512907,2.010738235840828,2.254190847354137,36,0.9315375982,0.26440800534897396,0.29642153065794297,4,0.6127946128,0.20706441670471476,0.23213499630907677,3,0.4029180696,0.1716574545740017,0.19244109257452194,3,0.5656565657,0,0,0,0,0.4103646382928831,0.46005004293000357,7,0.6509539843,14.845153377670458,16.64254862967562,248,0.9663299663,3102.1934675451353,3477.7953672030526,107951,0.9988776655,2837.7916604505863,3181.380785258491,101881,0.9988776655,1524.8990109672195,1709.5280392009195,40079,0.987654321,102.67986407079427,115.11195523631582,3449,0.9809203143,311.2295523717955,348.9120542284705,5377,0.9708193042,85.71583403330256,96.09398434226514,1645,0.9988776655,1.682385167924121,1.8860820268198835,48,0.9663299663,1073.2189922784669,1203.160305244919,19359,0.9988776655,499.0607404481279,559.48513503153265,6999,0.9988776655,2016.5117184671772,2260.6633615102874,45342,0.9988776655,425.7406827971696,477.2877609833734,6708,0.9988776655,1253.4010070985,1405.158079706839,32869,0.9988776655,608.9165566649363,682.6418796692099,10994,0.9988776655,274.66311393390936,307.91828916357366,3808,0.9988776655,274.37222696445826,307.5921826955808,4212,0.9988776655,135.77693648788417,152.21629651108074,1660,0.9988776655,0.5624309903566094,0.6305280160937071,11,0.8237934905,2.228285187335406,2.4980775642768043,61,0.9988776655,0.8676126488380461,0.9726599202215709,12,0.9124579125,1.0556448895043298,1.1834583963065097,20,0.9259259259,0.8608347874919766,0.9650614209533761,11,0.771043771,0.2539428306631499,0.28468927204291067,5,0.7227833895,0.1876733750097512,0.21039616032786287,3,0.4624017957,0.21527593746750678,0.24134073707467124,2,0.4534231201,Bac1
chrC:A4UQR3:A4UQR3_9RHIZ,2,Bac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11141593272349451,0.18264907003906355,4,0.8128078818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bac2
ymgB/ariR:P75993:ARIR_ECOLI,3,Bac,0,0,0,0,0,0,0,0,0,0,0,0,0.11170767976893489,0.4168197006323548,2,0.6966292135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03813322605185737,0.14228815691059854,1,0.4494382022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07825770795381606,0.2920063729634018,1,0.7565543071,0,0,0,0,0,0,0,0,0,0,0,0,Bac3
iclR:P16528:ICLR_ECOLI,4,Bac,0,0,0,0,4.0558826155761984,4.688881636506082,61,0.9780092593,5.7355350736535815,6.630676385729482,77,0.9502314815,1.8990305560718932,2.195411047481796,34,0.9131944444,0.13220400267448698,0.15283699730997907,2,0.4490740741,0.20706441670471476,0.23938082856136128,3,0.5740740741,0,0,0,0,0,0,0,0,0.4103646382928831,0.47440998646382926,7,0.9479166667,2.0950821299131697,2.422060265797682,35,0.9131944444,2195.9705423379964,2538.6942685988397,76416,0.9988425926,2130.8297133368324,2463.3869518344886,76500,0.9988425926,1143.0940364155579,1321.4959958561356,30044,0.9988425926,1.1015236215191035,1.273437712739192,37,0.9490740741,152.57599033886052,176.3884281374089,2636,0.9884259259,37.15221256276275,42.95053475463907,713,0.9675925926,1.5772360949288635,1.8233943293981176,45,0.9606481481,753.3987347003649,870.9811961853908,13590,0.9988425926,323.294956021119,373.7513942440663,4534,0.9988425926,1258.5520074302556,1454.9734189945157,28299,0.9988425926,256.28218204158776,296.279979238833,4038,0.9988425926,773.7231565921861,894.4776376788267,20290,0.9988425926,382.05443040519646,441.6814224337509,6898,0.9988425926,183.56555277358174,212.21451187697255,2545,0.9988425926,168.77930675805112,195.12058584746106,2591,0.9988425926,85.06506864301176,98.34111981850876,1040,0.9988425926,0.20452036012967614,0.2364397226908437,4,0.5914351852,2.6666363717292563,3.0828166147153544,73,0.9965277778,0.5061073784888602,0.5850952352448551,7,0.8738425926,0.9500804005538969,1.0983588445702774,18,0.9733796296,0.5478039556767124,0.6332993707219445,7,0.775462963,0.20315426453051988,0.23486042142015903,4,0.6365740741,0.3127889583495853,0.3616057321954738,5,0.6759259259,0.10763796873375339,0.12443695807780976,1,0.2337962963,Bac4
cpxR:C4WZK6:C4WZK6_KLEPN,5,Bac,0,0,0,0,0.1994696368316163,0.2849566240442163,3,0.5665236052,0.5958997479120604,0.8512853541622145,8,0.7553648069,0,0,0,0,0,0,0,0,0.06902147223490492,0.09860210319469336,1,0.2889842632,0,0,0,0,0,0,0,0,0.05862351975612616,0.08374788536756947,1,0.2889842632,0.2992974471304528,0.4275677816174979,5,0.6137339056,17.816972051004473,25.452817215721087,620,0.9456366237,84.48113098758971,120.68732998226984,3033,0.9899856938,3.956922506564306,5.652746437947921,104,0.8197424893,1.0122108954499869,1.4460155649277022,34,0.9585121602,0.057881635181661804,0.08268805026117063,1,0.1530758226,0.10421377997969916,0.1488768285401942,2,0.4048640916,0.03504969099841919,0.050070987141600264,1,0.2889842632,4.213267390524484,6.018953415033392,76,0.9313304721,0.07130457786085553,0.10186368266040233,1,0.2889842632,0.26684024328002875,0.3812003475416275,6,0.808297568,0.1904028098377324,0.27200401405299673,3,0.773962804,0.1525329042074295,0.2179041488683012,4,0.7067238913,0.11077252258776354,0.15824646083728852,2,0.5550786838,0,0,0,0,0.06514060469241649,0.09305800670531328,1,0.2889842632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bac5
ttgE:Q9KWV4:TTGE_PSEPT,228,Bac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027853983180873627,0.008865048752269681,0,0.0321553645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bac228
lmrS:Q5HE38:Q5HE38_STAAC,6,Bac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12693520655848825,0.08790526769683049,2,0.13998614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bac6
kpnO:C4XBC3:C4XBC3_KLEPN,7,Bac,0,0,0,0,0.1994696368316163,0.18150103442294066,3,0.3424408015,0.819362153379083,0.7455524598555375,11,0.621129326,0.055853839884467446,0.05082242027869725,1,0.102003643,0,0,0,0,0.06902147223490492,0.06280388738594633,1,0.1839708561,0.057219151524667236,0.05206474206235903,1,0.1839708561,0,0,0,0,0,0,0,0,0.41901642598263394,0.38127063328765853,7,0.5072859745,112.79292790353638,102.6323274827455,3924,0.9298724954,564.8509249249363,513.9680845540834,20275,0.9890710383,67.38182460697487,61.31194231753983,1770,0.878870674,8.365625341807245,7.612033977987629,277,0.9061930783,4.919938990441253,4.476741574561068,85,0.839708561,5.419116558944356,4.930952282933117,104,0.825136612,0.3154472189857727,0.2870311364736127,9,0.6438979964,21.509838783203943,19.572191795454515,388,0.9726775956,5.062625028120743,4.606574183913758,71,0.7030965392,27.03981131904291,24.604013939076104,608,0.9571948998,5.775551898411216,5.255279252421448,91,0.8269581056,15.710889133365239,14.295622505337697,412,0.810564663,8.806415545727202,8.013116966085718,159,0.737704918,4.9046984631055235,4.4628739427724105,68,0.7258652095,3.0616084205435747,2.7858129395297158,47,0.6329690346,0.8997266875703167,0.8186776047067157,11,0.6083788707,0,0,0,0,0,0,0,0,0,0,0,0,0.05278224447521649,0.048027519997213095,1,0.1839708561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bac7
kmrA:C4X8X9:C4X8X9_KLEPN,8,Bac,0,0,0,0,0,0,0,0,0.07448746848900754,0.0496252288385385,1,0.1346666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119524821899051,0.07963012784494475,2,0.1346666667,0,0,0,0,0.2992974471304528,0.19939869895399734,5,0.4766666667,0.08621115508550552,0.05743581284949104,3,0.2806666667,2.22831865446989,1.4845560656031496,80,0.98,0.15218932717555023,0.10139195681308245,4,0.2633333333,1.548087251864686,1.0313705875181656,52,0.9653333333,0,0,0,0,0.10421377997969916,0.0694295669396373,2,0.1346666667,0,0,0,0,0.11087545764538115,0.07386772661017081,2,226,0,0,0,0,0.31131361716003353,0.20740414200988697,7,0.5446666667,0.3173380163962206,0.21141773244216358,5,372,0.22879935631114423,0.15243128335084283,6,0.5706666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bac8
yqjH:Q46871:YQJH_ECOLI,9,Bac,0.07078498423972326,0.0924085956117557,1,0.2640522876,5.05323079973428,6.596907049263614,76,0.9464052288,4.24578570387343,5.542801179993232,57,0.9202614379,1.5639075167650887,2.041654721626696,28,0.9215686275,0,0,0,0,0.4141288334094295,0.5406381637182419,6,0.8078431373,0.057219151524667236,0.07469863123206681,1,0.2640522876,0,0,0,0,0.9379763160980186,1.2245121620060968,16,0.9150326797,2.035222640487079,2.656948616823785,34,0.8849673203,1798.4509062387306,2347.8471360818944,62583,0.9986928105,1613.8876394829988,2106.9029236070473,57941,0.9986928105,890.4217059723505,1162.4304255513705,23403,0.9986928105,0.714501808552932,0.9327699850561947,24,0.9163398693,144.24103487270122,188.3042230714114,2492,0.9620915033,38.61120548247854,50.40627347582136,741,0.9620915033,0.560795055974707,0.7321084281643615,16,0.8862745098,618.7404913900494,807.7552106919699,11161,0.9673202614,263.6843289294438,344.2354163569778,3698,0.9986928105,1000.6509123001077,1306.332783681603,22500,0.9986928105,205.95237264114718,268.86732720776183,3245,0.9986928105,608.9494868221104,794.9732203944006,15969,0.9986928105,322.0711094239225,420.4583673941523,5815,0.9986928105,155.86843204075055,203.48359274249606,2161,0.9986928105,140.37800311215753,183.26110066861617,2155,0.9986928105,67.56129490300742,88.20012389426249,826,0.9986928105,0.15339027009725711,0.20024839438479128,3,0.477124183,1.6072876761107846,2.098286783434168,44,0.9490196078,0.14460210813967436,0.18877559809058703,2,0.4640522876,0.6861691781778144,0.895782216943998,13,0.8980392157,0.7043193715843445,0.9194769864036624,9,0.7411764706,0.2539428306631499,0.33151805569585896,5,0.7503267974,0.06255779166991707,0.08166813533802697,1,0.2640522876,0.10763796873375339,0.1405195414256563,1,0.2640522876,Bac9
