Sample,TotalReads,bases
Bichat1,14127290,4238187e3
Bichat10,15039883,4511964900
Bichat11,13425077,4027523100
Bichat13,17903872,5371161600
Bichat2,15128135,4538440500
Bichat3,14488245,4346473500
Bichat6,17476666,5242999800
Bichat7,16732926,5019877800
Bichat9,17058e3,51174e5
BichatK1,16705789,5011736700
BichatK10,34798281,10439484300
BichatK11,35901508,10770452400
BichatK13,26283052,7884915600
BichatK2,33589838,10076951400
BichatK3,17276637,5182991100
BichatK6,19191320,5757396e3
BichatK7,28530922,8559276600
BichatK9,18038257,5411477100
postF266,14024345,2804869e3
postPIG20,22485364,4497072800
postPIG26,15756070,3151214e3
postPIG29,26223850,524477e4
postPIG31,18055019,3611003800
postPIG528,13864257,2772851400
postPIG94,15351408,3070281600
postPIG96,12225935,2445187e3
preF266,19557955,3911591e3
prePIG20,27375311,5475062200
prePIG26,13831057,2766211400
prePIG29,18945765,3789153e3
prePIG31,12778294,2555658800
prePIG528,19689471,3937894200
prePIG94,15985219,3197043800
prePIG96,9290402,1858080400
