Sample,Seq
Bichat1,Conventional
Bichat10,Conventional
Bichat11,Conventional
Bichat13,Conventional
Bichat2,Conventional
Bichat3,Conventional
Bichat6,Conventional
Bichat7,Conventional
Bichat9,Conventional
BichatK1,SeqCap
BichatK10,SeqCap
BichatK11,SeqCap
BichatK13,SeqCap
BichatK2,SeqCap
BichatK3,SeqCap
BichatK6,SeqCap
BichatK7,SeqCap
BichatK9,SeqCap
postF266,SeqCap
postPIG20,SeqCap
postPIG26,SeqCap
postPIG29,SeqCap
postPIG31,SeqCap
postPIG528,SeqCap
postPIG94,SeqCap
postPIG96,SeqCap
preF266,Conventional
prePIG20,Conventional
prePIG26,Conventional
prePIG29,Conventional
prePIG31,Conventional
prePIG528,Conventional
prePIG94,Conventional
prePIG96,Conventional
