"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Everything Put Together",2000,87,500000,7.1,151,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,"R",0,0,0,1,0,0,0
"Hit the Deck",1955,117,NA,6,70,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,24.5,"",0,0,1,0,0,0,0
"Naval Apprentices at Sail Drill on Historic Ship 'Constellation'",1900,2,NA,2.9,6,0,14.5,45.5,14.5,14.5,0,0,0,0,0,"",0,0,0,0,1,0,1
"Minder dood dan de anderen",1992,100,NA,5.5,6,0,0,14.5,0,14.5,34.5,0,14.5,0,14.5,"",0,0,0,1,0,0,0
"Jaka Sembung & Bergola Ijo",1985,94,NA,4.7,11,4.5,4.5,0,24.5,0,4.5,4.5,24.5,0,4.5,"",1,0,0,0,0,0,0
"Apando, El",1976,83,NA,7,34,0,4.5,0,4.5,4.5,4.5,4.5,34.5,14.5,24.5,"",0,0,0,1,0,0,0
"FBI Story, The",1959,149,NA,6.2,469,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Toughest Man in Arizona",1952,85,NA,4.1,28,14.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Blood Red",1989,91,NA,3.3,130,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"",0,0,0,1,0,0,0
"Monster Walks, The",1932,63,NA,4.1,50,14.5,4.5,24.5,24.5,14.5,4.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Lola Zipper",1991,90,NA,3.5,15,24.5,0,14.5,14.5,24.5,24.5,14.5,0,0,0,"",0,0,1,0,0,0,0
"Przedwiosnie",2001,140,NA,5.1,44,4.5,14.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Huey Long",1985,88,NA,7.6,47,0,0,0,0,4.5,14.5,14.5,24.5,24.5,14.5,"",0,0,0,0,1,0,0
"Olga's House of Shame",1964,70,NA,4.5,21,14.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,0,4.5,"",0,0,0,1,0,0,0
"Orson Welles: The One-Man Band",1995,90,NA,6.8,62,0,4.5,0,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"",0,0,0,0,1,0,0
"Secrets of Life",1956,70,NA,8.1,16,4.5,0,0,0,0,4.5,14.5,14.5,4.5,44.5,"",0,0,0,0,1,0,0
"Buena vida, La",1996,107,NA,6.8,164,0,0,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"",0,0,1,1,0,0,0
"Nam's Angels",1970,95,350000,4,39,24.5,14.5,4.5,14.5,14.5,4.5,0,4.5,4.5,24.5,"",1,0,0,1,0,0,0
"Bombardier",1943,99,NA,5.9,70,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,14.5,"",0,0,0,1,0,0,0
"Sweater Girls",1978,84,NA,6.9,7,14.5,0,14.5,0,0,0,14.5,0,44.5,14.5,"",0,0,1,0,0,0,0
"Tricheurs, Les",1958,120,NA,6.8,54,0,4.5,4.5,4.5,0,14.5,14.5,24.5,14.5,24.5,"",0,0,0,1,0,0,0
"Fadarines, Oi",1979,115,NA,5.2,10,14.5,14.5,0,14.5,0,0,24.5,0,14.5,44.5,"",0,0,1,0,0,0,0
"Dealer",2004,160,NA,7,100,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,"",0,0,0,1,0,0,0
"Change of Heart",1934,76,NA,4.8,8,0,0,14.5,24.5,24.5,14.5,14.5,14.5,0,0,"",0,0,0,1,0,0,0
"It Started with a Kiss",1959,104,NA,5.6,93,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Mom",1990,95,NA,4,28,14.5,14.5,14.5,14.5,24.5,4.5,14.5,4.5,4.5,0,"",0,0,1,0,0,0,0
"En garde",2004,94,NA,7.6,20,0,0,0,0,4.5,4.5,34.5,34.5,24.5,14.5,"",0,0,0,1,0,0,0
"Detective, Un",1969,103,NA,4.8,12,0,4.5,4.5,24.5,14.5,14.5,4.5,0,4.5,4.5,"",0,0,0,1,0,0,0
"How to Undress In Front of Your Husband",1937,20,NA,2.9,11,14.5,14.5,14.5,4.5,0,4.5,4.5,0,0,14.5,"",0,0,0,1,0,0,1
"California Mail",1936,56,NA,5.3,9,0,0,0,34.5,24.5,34.5,0,14.5,0,0,"",0,0,0,0,0,0,0
"Tupamaros",1997,95,NA,6.9,8,24.5,0,0,0,0,0,0,24.5,34.5,14.5,"",0,0,0,0,1,0,0
"Homme de ma vie, L'",1992,103,NA,5.4,37,4.5,0,4.5,0,4.5,14.5,24.5,14.5,4.5,14.5,"",0,0,1,0,0,1,0
"Paree, Paree",1934,21,NA,6.3,15,0,0,0,14.5,0,24.5,44.5,14.5,4.5,4.5,"",0,0,0,0,0,0,1
"James Dean Story, The",1957,81,35000,5.7,109,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,"",0,0,0,0,1,0,0
"Tulse Luper Suitcases, Part 3: From Sark to the Finish, The",2003,105,NA,8,45,4.5,4.5,4.5,0,4.5,4.5,14.5,24.5,14.5,24.5,"",0,0,0,1,0,0,0
"When the Wind Blows",1986,80,NA,7.6,421,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,"",0,1,0,1,0,0,0
"Arde, amor",1999,90,NA,5.7,13,14.5,4.5,0,4.5,34.5,4.5,4.5,4.5,14.5,0,"",0,0,0,1,0,0,0
"Lost and Foundling",1944,8,NA,5.9,11,0,4.5,0,4.5,4.5,44.5,4.5,0,0,14.5,"",0,1,1,0,0,0,1
"An ju",1997,100,NA,8.5,6,0,0,0,0,0,0,34.5,14.5,14.5,34.5,"",0,0,0,1,0,0,0
"Nowhere",1997,82,NA,5.7,1531,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,24.5,"",0,0,0,1,0,0,0
"Time to Die, A",1982,91,NA,4.7,34,4.5,0,4.5,14.5,24.5,14.5,14.5,0,0,4.5,"",0,0,0,1,0,0,0
"Resultado final",1998,95,NA,3.1,26,45.5,14.5,4.5,0,4.5,4.5,4.5,0,4.5,4.5,"",0,0,0,1,0,0,0
"Incredible Genie, The",1997,90,NA,3.4,14,14.5,14.5,0,4.5,4.5,14.5,14.5,4.5,4.5,14.5,"",0,0,0,0,0,0,0
"Caro dolce amore",1994,88,NA,6.2,14,0,0,0,4.5,4.5,4.5,4.5,24.5,14.5,24.5,"",0,0,1,1,0,1,0
"Prelude to War",1943,53,NA,7.7,118,4.5,4.5,4.5,0,4.5,4.5,24.5,24.5,14.5,14.5,"",0,0,0,0,1,0,0
"Cyborg 2087",1966,86,NA,4.2,55,4.5,4.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,14.5,"",0,0,0,0,0,0,0
"Yue guang shao nian",1993,95,NA,8.8,7,0,0,0,0,0,0,24.5,14.5,44.5,14.5,"",0,0,0,0,0,0,0
"Ronde de l'amour, La",1985,98,NA,4.4,14,14.5,0,4.5,14.5,24.5,14.5,4.5,14.5,0,4.5,"",0,0,0,0,0,0,0
"Merrily We Live",1938,90,NA,7.2,37,0,0,0,0,0,14.5,4.5,4.5,24.5,45.5,"",0,0,1,0,0,0,0
"Abuelo Cheno y otras historias, El",1994,30,NA,4.5,7,0,0,0,14.5,0,0,0,0,44.5,44.5,"",0,0,0,0,1,0,1
"Cat and the Canary, The",1979,89,NA,5.3,156,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"City Under the Sea, The",1965,84,NA,4.9,202,4.5,4.5,4.5,24.5,24.5,14.5,14.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"Inki at the Circus",1947,7,NA,6.4,6,0,0,0,14.5,14.5,0,14.5,14.5,14.5,14.5,"",0,1,1,0,0,0,1
"Abraxas, Guardian of the Universe",1991,90,NA,3.3,190,24.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"Sfora - Bez litosci",2002,120,NA,5.4,25,34.5,0,0,14.5,4.5,14.5,4.5,4.5,4.5,24.5,"",0,0,0,0,0,0,0
"Hei ma wang zi",1999,95,NA,5.3,38,14.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,4.5,14.5,"",0,0,0,1,0,1,0
"Cavaliere misterioso, Il",1948,90,NA,6.1,11,0,4.5,0,4.5,14.5,4.5,34.5,4.5,4.5,0,"",1,0,0,1,0,0,0
"China O'Brien",1990,86,NA,4.1,154,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,0,4.5,"",1,0,0,0,0,0,0
"Saxon Charm, The",1948,88,NA,5.9,15,0,0,4.5,0,24.5,24.5,24.5,4.5,0,24.5,"",0,0,0,1,0,0,0
"5 Steps to Danger",1957,81,NA,5.6,24,0,0,0,4.5,14.5,44.5,14.5,14.5,0,4.5,"",0,0,0,1,0,0,0
"Jorobado de la Morgue, El",1973,82,NA,4.7,48,4.5,4.5,4.5,4.5,14.5,24.5,4.5,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"Dark Room, The",1982,94,NA,4.7,11,4.5,4.5,0,4.5,0,14.5,0,14.5,4.5,24.5,"",0,0,0,1,0,0,0
"Star Wars: Episode I - The Phantom Menace",1999,133,115000000,6.4,84488,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,"PG",1,0,0,0,0,0,0
"Distraction, The",1999,86,NA,5.9,19,14.5,4.5,0,0,4.5,14.5,24.5,14.5,24.5,4.5,"R",0,0,0,1,0,0,0
"Bound",1996,109,4500000,7.5,11911,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,"R",0,0,0,0,0,1,0
"Better Living",1998,95,NA,3.2,38,14.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Guess What Happened to Count Dracula?",1970,80,NA,2.7,21,44.5,4.5,14.5,4.5,4.5,0,4.5,4.5,0,4.5,"",0,0,1,0,0,0,0
"Rocking Horse Winner, The",1997,23,NA,6.2,24,0,4.5,0,4.5,14.5,4.5,4.5,14.5,24.5,24.5,"",0,0,0,0,0,0,1
"Mad Max",1979,93,350000,6.8,11542,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"",1,0,0,0,0,0,0
"Je vous salue, mafia!",1965,90,NA,7.5,13,0,0,0,0,0,4.5,24.5,14.5,14.5,34.5,"",0,0,0,1,0,0,0
"Italkim Ba'im, Ha-",1996,100,NA,5.2,5,24.5,0,24.5,0,0,44.5,0,0,0,24.5,"",0,0,0,1,0,1,0
"Love Is a Splendid Illusion",1969,86,NA,6.2,7,14.5,14.5,0,0,14.5,24.5,24.5,0,0,0,"",0,0,0,0,0,0,0
"Flight of the Gossamer Condor, The",1978,27,NA,8.7,6,0,0,0,0,14.5,0,14.5,14.5,34.5,14.5,"",0,0,0,0,1,0,1
"Big Revue, The",1929,8,NA,7.4,12,0,0,0,0,14.5,4.5,0,0,14.5,45.5,"",0,0,0,0,0,0,1
"White Ghost",1988,88,NA,2.8,19,24.5,14.5,14.5,4.5,14.5,14.5,4.5,0,0,14.5,"",1,0,0,0,0,0,0
"Couch Trip, The",1988,97,NA,5.3,964,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Treasure of the Moon Goddess",1987,90,NA,3.3,17,14.5,4.5,14.5,0,4.5,14.5,14.5,14.5,4.5,14.5,"",0,0,0,1,0,0,0
"Bus Stop",1956,96,NA,6.9,1310,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,"",0,0,1,1,0,1,0
"Seth",1999,52,NA,6,22,0,0,4.5,4.5,4.5,4.5,14.5,34.5,4.5,14.5,"",0,0,0,0,0,0,0
"League of Their Own, A",1987,27,NA,7.6,5,0,0,24.5,0,0,0,24.5,24.5,0,44.5,"",0,0,0,0,1,0,1
"Eat and Run",1986,85,NA,3.2,55,24.5,4.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,24.5,"",0,0,1,0,0,0,0
"Taxi nach Kairo",1987,90,NA,5.5,10,0,0,14.5,0,44.5,34.5,24.5,0,0,0,"",0,0,1,0,0,0,0
"Charing Cross Road",1935,72,NA,6.6,5,0,0,0,24.5,24.5,0,24.5,44.5,0,0,"",0,0,0,1,0,0,0
"Alamo, The",2004,137,95000000,5.9,3060,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,"PG-13",1,0,0,1,0,0,0
"Mona Lisa",1986,104,NA,7.1,1819,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"",0,0,1,1,0,0,0
"Rang-e khoda",1999,90,NA,7.5,1175,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,"PG",0,0,0,1,0,0,0
"Satan's Bed",1965,72,NA,4.9,14,4.5,14.5,0,14.5,4.5,14.5,4.5,24.5,0,14.5,"",0,0,0,0,0,0,0
"Near Mrs.",1990,93,NA,5.3,35,14.5,4.5,0,24.5,14.5,14.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Guiltrip",1995,90,NA,6.5,31,0,0,0,0,14.5,4.5,14.5,34.5,14.5,4.5,"",0,0,0,0,0,0,0
"Lara",2002,107,NA,7.9,19,4.5,4.5,0,0,14.5,4.5,4.5,44.5,24.5,4.5,"",0,0,0,0,0,0,0
"Mister Mama",1992,102,NA,7.1,10,14.5,0,0,0,24.5,0,34.5,14.5,34.5,0,"",0,0,1,1,0,0,0
"Return to the Edge of the World",1978,85,NA,6.8,29,0,0,0,0,4.5,24.5,24.5,24.5,14.5,14.5,"",0,0,0,0,1,0,0
"God's Gift to Women",1931,72,NA,3.9,40,4.5,14.5,14.5,14.5,4.5,24.5,14.5,4.5,4.5,0,"",0,0,1,0,0,1,0
"Long Ships, The",1963,126,NA,5.8,295,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"Via della prostituzione, La",1978,87,NA,4.6,31,4.5,4.5,4.5,24.5,24.5,4.5,14.5,4.5,0,4.5,"",0,0,0,0,0,0,0
"Overnight",2003,82,NA,7.5,101,4.5,4.5,4.5,4.5,4.5,4.5,24.5,14.5,14.5,24.5,"R",0,0,0,0,1,0,0
"Nirvana Street Murder",1990,75,NA,5.7,22,0,0,0,4.5,14.5,4.5,45.5,0,4.5,24.5,"",0,0,1,0,0,0,0
"Short Hymn, Silent War",2003,20,NA,6.9,27,4.5,0,4.5,0,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,1
"Padrecito, El",1964,130,NA,6.7,43,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,"",0,0,1,1,0,0,0
"Emanuelle nera",1975,91,NA,4.9,129,4.5,4.5,14.5,4.5,14.5,4.5,14.5,4.5,4.5,24.5,"",0,0,0,1,0,0,0
"Harlan County, U.S.A.",1976,103,NA,8.3,298,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,44.5,"",0,0,0,0,1,0,0
"Dirty Shary",1985,70,NA,7.5,8,14.5,0,0,0,14.5,0,0,24.5,24.5,24.5,"",0,0,0,0,0,0,0
"Amazon Women on the Moon",1987,85,NA,5.6,2540,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"Sans mobile apparent",1971,100,NA,6.3,52,0,0,4.5,4.5,4.5,14.5,24.5,14.5,24.5,4.5,"",0,0,0,0,0,0,0
"Pangako... ikaw lang",2001,100,NA,6.6,5,24.5,0,0,0,0,24.5,0,44.5,0,24.5,"",0,0,0,1,0,1,0
"Mrs. Barrington",1974,86,NA,5.6,8,0,0,0,0,14.5,24.5,14.5,14.5,14.5,24.5,"",0,0,0,0,0,0,0
"Diane",1956,110,NA,5.6,62,4.5,4.5,4.5,14.5,4.5,14.5,14.5,24.5,4.5,4.5,"",0,0,0,1,0,1,0
"Dracula's Daughter",1936,71,NA,6.4,429,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,0,0,0,0
"Prince of Egypt, The",1998,99,60000000,6.9,9212,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"PG",0,1,0,1,0,0,0
"Testing Large Turbines",1904,4,NA,2.7,5,24.5,24.5,44.5,24.5,0,0,0,0,0,0,"",0,0,0,0,0,0,1
"Chambre des officiers, La",2001,135,NA,7.9,360,4.5,0,4.5,4.5,4.5,4.5,24.5,34.5,24.5,14.5,"",0,0,0,1,0,0,0
"Juventud sin ley",1966,90,NA,7.8,5,0,0,0,0,0,0,64.5,24.5,0,24.5,"",0,0,0,1,0,0,0
"Wild Blade",1991,53,NA,5.2,9,0,0,14.5,14.5,0,14.5,14.5,0,0,45.5,"",0,0,0,1,0,0,0
"Geudeulmanui sesang",1996,106,NA,4,5,0,0,0,64.5,0,0,24.5,0,0,24.5,"",0,0,0,1,0,0,0
"Thing That Couldn't Die, The",1958,69,NA,3.1,233,24.5,24.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,"",0,0,0,0,0,0,0
"I'll See You in My Dreams",1951,110,NA,6.3,120,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,1,0,0,0,0
"C-Man",1949,75,NA,6.6,9,0,0,14.5,0,0,24.5,45.5,14.5,0,0,"",0,0,0,1,0,0,0
"Slim Slam Slum",2002,97,NA,1.7,107,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0
"Promise at Dawn",1970,102,NA,5,16,4.5,0,0,0,34.5,0,24.5,14.5,0,24.5,"",0,0,0,1,0,0,0
"With Byrd at the South Pole",1930,82,NA,7.2,25,4.5,0,14.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"",0,0,0,0,1,0,0
"Moulin Rouge!",2001,127,52500000,7.7,47689,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,34.5,"PG-13",0,0,0,1,0,1,0
"Meanest Gal in Town, The",1934,62,NA,5.2,27,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,"",0,0,1,0,0,0,0
"Black Scorpion II: Aftershock",1997,85,NA,3.3,164,24.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0
"Combat",1999,8,NA,4.4,18,4.5,0,14.5,24.5,4.5,14.5,4.5,34.5,0,4.5,"",0,0,1,1,0,0,1
"Alias Billy the Kid",1946,56,NA,6.7,12,0,0,0,0,14.5,4.5,14.5,24.5,4.5,24.5,"",0,0,0,0,0,0,0
"All the Wrong Places",2000,95,NA,6.2,10,14.5,14.5,0,0,14.5,14.5,34.5,0,34.5,0,"",0,0,1,0,0,1,0
"Ludwig II.",1955,115,NA,6.9,37,0,0,0,4.5,4.5,24.5,24.5,14.5,4.5,14.5,"",0,0,0,1,0,0,0
"Sangre de Nostradamus, La",1961,98,NA,4,10,24.5,0,14.5,14.5,34.5,0,14.5,0,24.5,0,"",0,0,0,0,0,0,0
"Operative, The",2000,93,NA,3.9,98,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,"R",1,0,0,0,0,0,0
"Flight of the Phoenix, The",1965,142,NA,7.6,2545,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,14.5,"",1,0,0,1,0,0,0
"Zhui ming qiang",1973,96,NA,6.3,46,4.5,4.5,0,4.5,14.5,14.5,14.5,14.5,4.5,14.5,"",1,0,0,1,0,0,0
"Boys of the City",1940,68,NA,5.9,72,0,4.5,4.5,4.5,14.5,14.5,4.5,14.5,14.5,24.5,"",0,0,1,0,0,0,0
"Clockstoppers",2002,94,26000000,5.1,2555,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,"PG",0,0,0,0,0,0,0
"Tian mi mi",1996,116,NA,7.6,630,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,"",0,0,0,1,0,1,0
"Stimulantia",1967,105,NA,8.4,13,0,0,0,0,0,4.5,24.5,4.5,14.5,44.5,"",0,0,0,0,0,0,0
