Experiment	Well	Rate	  R	Max OD	 lagTime
Efm_OD_42_new	EFM6s_1	0.01581	0.99823	1.037	96.6
Efm_OD_42_new	EFM6s_2	0.01625	0.99792	1.053	98.1
Efm_OD_42_new	EFM6s_3	0.01664	0.99902	1.044	103.1
Efm_OD_42_new	EFM6s_4	0.01681	0.99861	1.052	103.8
Efm_OD_42_new	EFM6s_5	0.01632	0.99797	1.024	100.3
Efm_OD_42_new	EFM6s_6	0.01652	0.99781	1.028	99.6
Efm_OD_42_new	EFM6s_7	0.01682	0.99911	1.017	101.8
Efm_OD_42_new	EFM6s_8	0.01627	0.99828	1.051	97.1
Efm_OD_42_new	EFM6s_9	0.01499	0.99844	0.917	96.9
Efm_OD_42_new	EFM6s_10	0.01522	0.99795	0.950	95.4
Efm_OD_42_new	EFM6s_11	0.01622	0.99769	0.960	88.3
Efm_OD_42_new	EFM6s_12	0.01615	0.99811	1.034	90.5
Efm_OD_42_new	EFM6s_13	0.01606	0.99825	1.014	97.6
Efm_OD_42_new	EFM6s_14	0.01671	0.99920	1.018	100.7
Efm_OD_42_new	EFM6s_15	0.01607	0.99835	0.993	93.4
Efm_OD_42_new	EFM6s_16	0.01632	0.99837	1.011	94.7
Efm_OD_42_new	EFM6s_17	0.01706	0.99904	1.014	101.1
Efm_OD_42_new	EFM6s_18	0.01701	0.99918	1.024	100.6
Efm_OD_42_new	EFM6s_19	0.01673	0.99919	1.011	99.8
Efm_OD_42_new	EFM6s_20	0.01635	0.99924	1.020	97.8
Efm_OD_42_new	GE1RF_1	0.01196	0.99933	0.914	136.5
Efm_OD_42_new	GE1RF_2	0.01174	0.99950	0.944	135.4
Efm_OD_42_new	GE1RF_3	0.01155	0.99937	0.937	140.2
Efm_OD_42_new	GE1RF_4	0.01170	0.99912	0.935	141.2
Efm_OD_42_new	GE1RF_5	0.01184	0.99916	0.906	131.8
Efm_OD_42_new	GE1RF_6	0.01209	0.99913	0.931	131.3
Efm_OD_42_new	GE1RF_7	0.01193	0.99949	0.918	136.4
Efm_OD_42_new	GE1RF_8	0.01198	0.99947	0.932	132.7
Efm_OD_42_new	GE1RF_9	0.01178	0.99933	0.920	134.1
Efm_OD_42_new	GE1RF_10	0.01127	0.99933	0.896	148.2
Efm_OD_42_new	GE1RF_11	0.01098	0.99905	1.072	146.8
Efm_OD_42_new	GE1RF_12	0.01185	0.99913	1.077	143.7
